epoch,train_loss,val_loss,val_accuracy
1,1.038076319477775,0.9788832743962605,0.6577777777777778
2,0.9197682033885609,0.8388520240783691,0.6577777777777778
3,0.7786107316161647,0.6812154531478882,0.6688888888888889
4,0.6407705572518435,0.5519381602605183,0.7755555555555556
5,0.5276170093001742,0.45389748414357506,0.8377777777777777
6,0.4363692186095498,0.3748645822207133,0.8933333333333333
7,0.3618102516188766,0.3107018490632375,0.9244444444444444
8,0.30266209759495477,0.2592545469601949,0.9422222222222222
9,0.25759302034522547,0.21981570720672608,0.9644444444444444
10,0.2221188913240577,0.18934782644112905,0.9733333333333334
11,0.1943248248461521,0.162777116894722,0.9777777777777777
12,0.1713839168801452,0.14184126357237498,0.98
13,0.15268486038301932,0.12395099550485611,0.9822222222222222
14,0.13753182237798517,0.11077713718016942,0.9844444444444445
15,0.12643459100614896,0.0981628231704235,0.9844444444444445
16,0.11566392862887094,0.0881585106253624,0.9844444444444445
17,0.10758980171698512,0.08004605645934741,0.9844444444444445
18,0.10104269681103302,0.07361749385794004,0.9866666666666667
19,0.09588910052270601,0.0685252937177817,0.9866666666666667
20,0.09086328970663475,0.06364792684713999,0.9866666666666667
21,0.08741086100538571,0.059697337448596954,0.9866666666666667
22,0.08412967080419714,0.05692084146042665,0.9866666666666667
23,0.08153334638160287,0.05470613266030947,0.9844444444444445
24,0.07898450467848417,0.050609743346770604,0.9866666666666667
25,0.07921701347963377,0.04908335283398628,0.9866666666666667
26,0.07570395003439802,0.04750409536063671,0.9866666666666667
27,0.07438340805696719,0.04776453549663226,0.9866666666666667
28,0.07316715958895105,0.044380758951107664,0.9866666666666667
29,0.07169713887075584,0.04328344538807869,0.9866666666666667
30,0.0714205653322014,0.0428263779108723,0.9844444444444445
31,0.07059823524093989,0.04173782418171565,0.9866666666666667
32,0.07010905828439828,0.039853450780113535,0.9866666666666667
33,0.06902031747229172,0.03943675092111031,0.9844444444444445
34,0.06879786461253058,0.03709786807497342,0.9866666666666667
35,0.06957487313246186,0.039097687664131325,0.9844444444444445
36,0.06809687360443852,0.03865948617458344,0.9844444444444445
37,0.06757336118343202,0.03751991310467322,0.9844444444444445
38,0.06602061359268246,0.036532634186247984,0.9822222222222222
39,0.0672837637477752,0.03695948931078116,0.9844444444444445
40,0.06593282088976014,0.03498097596069177,0.9822222222222222
41,0.06558570387124112,0.0336862242470185,0.9866666666666667
42,0.06505528177050027,0.03397974191854398,0.9822222222222222
43,0.06444736366922205,0.033832083083689214,0.9822222222222222
44,0.06402962024069646,0.033155510264138384,0.9822222222222222
45,0.06384356825076269,0.03512159852931897,0.9844444444444445
46,0.06394078809711518,0.03193155772363146,0.9822222222222222
47,0.06361132400166808,0.03268138961866498,0.9822222222222222
48,0.06342486080459574,0.031866893141220015,0.9822222222222222
49,0.06378363748786575,0.03386844682196776,0.9844444444444445
50,0.06396585115880678,0.03109744768589735,0.9822222222222222
51,0.06447957597221389,0.030920667480677365,0.9822222222222222
52,0.06281509989816131,0.031965364888310435,0.9844444444444445
53,0.0630760800488519,0.03308144947513938,0.9844444444444445
54,0.06296852194337231,0.02968598293761412,0.9866666666666667
55,0.06253135677031947,0.0305599971053501,0.9822222222222222
56,0.06195098192741474,0.03157325641562541,0.9844444444444445
